Name  ,Entry in The World Factbook ,Latitude(deg min) ,Longitude(deg min)
Abu Musa (island) ,Iran ,25 52 N ,55 03 E
Adamstown (capital) ,Pitcairn Islands ,25 04 S ,130 05 W
Admiralty Island ,United States (Alaska) ,57 44 N ,134 20 W
Admiralty Islands ,Papua New Guinea ,2 10 S ,147 00 E
Aegean Islands ,Greece ,38 00 N ,25 00 E
Agalega Islands ,Mauritius ,10 25 S ,56 40 E
Aland Islands ,Finland ,60 15 N ,20 00 E
Aldabra Islands (Groupe d'Aldabra) ,Seychelles ,9 25 S ,46 22 E
Alderney (island) ,Guernsey ,49 43 N ,2 12 W
Aleutian Islands ,United States (Alaska) ,52 00 N ,176 00 W
Alexander Archipelago (island group) ,United States (Alaska) ,57 00 N ,134 00 W
Alexander Island ,Antarctica ,71 00 S ,70 00 W
"Alhucemas, Penon de (island group) ",Spain ,35 13 N ,3 53 W
Alphonse Island ,Seychelles ,7 01 S ,52 45 E
Amindivi Islands (former name for Laccadive Islands) ,India ,11 30 N ,72 30 E
Amirante Isles (island group; also Les Amirantes) ,Seychelles ,6 00 S ,53 10 E
Amsterdam Island (Ile Amsterdam) ,French Southern and Antarctic Lands ,37 52 S ,77 32 E
Andaman Islands ,India ,12 00 N ,92 45 E
Andros (island) ,Greece ,37 45 N ,24 42 E
Andros Island ,The Bahamas ,24 26 N ,77 57 W
Anjouan (island) ,Comoros ,12 15 S ,44 25 E
Annobon (island) ,Equatorial Guinea ,1 25 S ,5 36 E
Antigua (island) ,Antigua and Barbuda ,14 34 N ,90 44 W
Antipodes Islands ,New Zealand ,49 41 S ,178 43 E
Ascension Island ,Saint Helena ,7 57 S ,14 22 W
Assumption Island ,Seychelles ,9 46 S ,46 34 E
Asuncion Island ,Northern Mariana Islands ,19 40 N ,145 24 E
Attu Island ,United States ,52 55 N ,172 57 E
Auckland Islands ,New Zealand ,51 00 S ,166 30 E
"Australes, Iles (island group; also Iles Tubuai) ",French Polynesia ,23 20 S ,151 00 W
Avarua (capital) ,Cook Islands ,21 12 S ,159 46 W
Axel Heiberg Island ,Canada ,79 30 N ,90 00 W
Azores (islands) ,Portugal ,38 30 N ,28 00 W
Babuyan Islands ,Philippines ,19 10 N ,121 40 E
Baffin Island ,Canada ,68 00 N ,70 00 W
Balearic Islands ,Spain ,39 30 N ,3 00 E
Bali (island) ,Indonesia ,8 20 S ,115 00 E
Balintang Islands ,Philippines ,19 55 N ,122 10 E
Balleny Islands ,Antarctica ,67 00 S ,163 00 E
Banaba (Ocean Island) ,Kiribati ,0 52 S ,169 35 E
Bangka (island) ,Indonesia ,2 30 S ,106 00 E
Banks Island ,Australia ,10 12 S ,142 16 E
Banks Island ,Canada ,75 15 N ,121 30 W
Banks Islands (Iles Banks) ,Vanuatu ,14 00 S ,167 30 E
Barbuda (island) ,Antigua and Barbuda ,17 38 N ,61 48 W
Batan Islands ,Philippines ,20 30 N ,121 50 E
Bear Island (see Bjornoya) ,Svalbard ,74 26 N ,19 05 E
Belau (Palau Islands) ,Palau ,7 30 N ,134 30 E
Belep Islands (Iles Belep) ,New Caledonia ,19 45 S ,163 40 E
Bering Island ,Russia ,55 00 N ,166 30 E
Berkner Island ,Antarctica ,79 30 S ,49 30 W
Big Diomede Island ,Russia ,65 46 N ,169 06 W
"Bijagos, Arquipelago dos (island group) ",Guinea-Bissau ,11 25 N ,16 20 W
Bikini Atoll ,Marshall Islands ,11 35 N ,165 23 E
Bioko (island) ,Equatorial Guinea ,3 30 N ,8 42 E
Bismarck Archipelago (island group) ,Papua New Guinea ,5 00 S ,150 00 E
